id,title,text,label
1,Deep Learning and Medical Diagnosis,Several studies show that deep learning models can improve image-based medical diagnosis when trained on large annotated datasets.,support
2,Limitations of Deep Learning in Medicine,Deep learning models may fail when applied to hospitals with different patient populations or imaging devices.,uncertain
3,AI and Scientific Discovery,Machine learning has helped accelerate scientific discovery in protein structure prediction and materials screening.,support
4,AI Hallucination Risks,Large language models can generate fluent but unsupported scientific statements without reliable evidence.,refute
5,Human Oversight in AI Research,Researchers argue that AI systems should be combined with human expert review when evaluating scientific claims.,support
6,Small Dataset Problem,AI models trained on small or biased datasets often produce unreliable conclusions.,uncertain
7,Robotics and Reinforcement Learning,Reinforcement learning has been used to train robotic agents in simulation before real-world deployment.,support
8,Scientific Claim Verification,Automated claim verification requires retrieving relevant evidence and reasoning over whether the evidence supports or refutes the claim.,support
9,LLM Reasoning Limitations,LLMs often struggle with multi-step reasoning and may rely on memorized patterns instead of evidence.,refute
10,Retrieval Augmented Generation,Retrieval-augmented generation improves factual reliability by grounding model outputs in external documents.,support
