evidence_id,title,text,source_name,source_type,topic,source_url,published_at,retrieved_at
nist-rmf-001,AI Risk Management Applies Across the Lifecycle,NIST AI RMF 1.0 provides a voluntary framework for managing AI risks and promoting trustworthy and responsible development and use across the AI lifecycle.,Artificial Intelligence Risk Management Framework 1.0,report,ai risk management,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,2023-01-26,2026-07-19
seed-003,Small Dataset Problem,AI models trained on small biased datasets are not always reliable.,Portfolio seed corpus,other,dataset bias,,,
datasheets-001,Datasheets Document Dataset Creation and Use,"Datasheets for Datasets proposes documenting dataset motivation, composition, collection processes, and recommended uses to improve transparency and accountability.",Datasheets for Datasets,paper,dataset documentation,https://arxiv.org/abs/1803.09010,2018-03-23,2026-07-19
kilt-001,Knowledge-Intensive Tasks Need Provenance Evaluation,KILT evaluates both downstream task performance and the ability to provide supporting provenance against a shared snapshot of Wikipedia.,KILT: A Benchmark for Knowledge Intensive Language Tasks,paper,evidence provenance,https://arxiv.org/abs/2009.02252,2020-09-04,2026-07-19
factscore-001,FActScore Evaluates Atomic Factual Claims,FActScore decomposes long-form generations into atomic facts and measures the percentage of those facts supported by a reliable knowledge source.,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,paper,factuality evaluation,https://aclanthology.org/2023.emnlp-main.741/,,2026-07-19
nist-genai-001,Generative AI Requires Tailored Risk Management,The NIST Generative AI Profile adapts the AI Risk Management Framework to risks associated with generative AI and proposes actions for managing those risks.,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,report,generative ai risk,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,2024-07-26,2026-07-19
selfcheckgpt-001,Sampling Consistency Can Signal Hallucination,SelfCheckGPT detects potential hallucinations by comparing factual consistency across multiple sampled responses from the same language model.,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,paper,hallucination detection,https://aclanthology.org/2023.emnlp-main.557/,,2026-07-19
seed-004,Human Oversight in AI Research,Human oversight is important when using AI systems for scientific reasoning.,Portfolio seed corpus,other,human oversight,,,
dpr-001,Dense Passage Retrieval for Open-Domain QA,A dual-encoder dense retriever improved top-20 passage retrieval accuracy over a Lucene BM25 baseline on several open-domain question answering datasets.,Dense Passage Retrieval for Open-Domain Question Answering,paper,information retrieval,https://arxiv.org/abs/2004.04906,2020-04-10,2026-07-19
seed-001,AI Hallucination Risks,Large language models can generate unsupported scientific claims.,Portfolio seed corpus,other,llm reliability,,,
truthfulqa-001,Language Models Can Reproduce Human Misconceptions,TruthfulQA was designed to evaluate whether language models reproduce common human misconceptions and false beliefs when answering questions.,TruthfulQA: Measuring How Models Mimic Human Falsehoods,paper,llm truthfulness,https://aclanthology.org/2022.acl-long.229/,,2026-07-19
truthfulqa-002,Model Scale Alone Does Not Guarantee Truthfulness,TruthfulQA results indicated that increasing language model scale alone was not sufficient to guarantee improved truthfulness.,TruthfulQA: Measuring How Models Mimic Human Falsehoods,paper,llm truthfulness,https://aclanthology.org/2022.acl-long.229/,,2026-07-19
modelcards-001,Model Cards Clarify Intended Uses and Limitations,"Model cards document intended uses, evaluation procedures, performance characteristics, and relevant limitations to clarify where a model is or is not suitable.",Model Cards for Model Reporting,paper,model documentation,https://arxiv.org/abs/1810.03993,2018-10-05,2026-07-19
seed-002,Retrieval Augmented Generation,RAG can improve factual reliability by grounding answers in retrieved documents.,Portfolio seed corpus,other,retrieval augmented generation,,,
rag-001,RAG Combines Parametric and External Memory,Retrieval-augmented generation combines a pretrained sequence-to-sequence model with retrieved documents from an external dense vector index.,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,paper,retrieval augmented generation,https://arxiv.org/abs/2005.11401,2020-05-22,2026-07-19
rag-002,RAG Improved Factuality in Evaluated Generation Tasks,"In the original RAG experiments, retrieval-augmented models generated more factual language than a parametric-only sequence-to-sequence baseline on the evaluated generation tasks.",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,paper,retrieval augmented generation,https://arxiv.org/abs/2005.11401,2020-05-22,2026-07-19
beir-001,BEIR Uses Diverse Retrieval Datasets,The BEIR benchmark evaluates information retrieval systems across eighteen public datasets representing different retrieval tasks and domains.,BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,paper,retrieval evaluation,https://arxiv.org/abs/2104.08663,2021-04-17,2026-07-19
beir-002,Retrieval Methods Have Different Generalization Tradeoffs,"BEIR found BM25 to be a robust baseline and reported that retrieval effectiveness and computational cost varied across dense, sparse, reranking, and late-interaction methods.",BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,paper,retrieval evaluation,https://arxiv.org/abs/2104.08663,2021-04-17,2026-07-19
